name,group,default value,readonly,user_visible,notes,Range min,Range max,v2_user_visible (intent),v2_readonly (intent),changed_vs_v2
ATC_RAT_PIT_D,ATC,0.0115,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_D_FF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_FF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_FLTD,ATC,12.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_FLTE,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_FLTT,ATC,12.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_I,ATC,0.08,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_IMAX,ATC,0.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_NEF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_NTF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_P,ATC,0.08,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_PDMX,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_PIT_SMAX,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_D,ATC,0.0115,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_D_FF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_FF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_FLTD,ATC,12.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_FLTE,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_FLTT,ATC,12.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_I,ATC,0.08,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_IMAX,ATC,0.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_NEF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_NTF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_P,ATC,0.08,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_PDMX,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_RLL_SMAX,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_D,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_D_FF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_FF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_FLTD,ATC,20,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_FLTE,ATC,2.993685,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_FLTT,ATC,12.5,True,True,,,,False,True,user_visible False->True
